1,"Francois Nuyts prezes to jest główny winowajca złodziejskich praktyk na allegro będziemy organizowali protest w Poznaniu przeciwko jego oszustw i wyłudzeń niech cała opinia publiczna dowie się jak naprawdę działa allegro , trzeba tego śmiecia pogonić z Polski"
1,Allegro to nic innego jak zysk od sprzedaży Nabywca nie ten to inny frajerOd 2 października wzbiera bohatersko nie kupującego A sprzedającego wciska towar inny niż Aukcja Żenada !!!!!!¡!!!!!!!!!!!!!
5,Jestem kupującym-nie sprzedającym i jestem bardzo zadowolona. Zakupy czesto przychodzą po 2-3 dniach. Polecam.
1,"Allegro obecnie przypomina Bazar Różyckiego. Tyle, że Różyc był kultowy. Natomiast Allegro to handel baz zasad. A właściwie wg jednej zasady: jak przechytrzyć kupującego. Etyka kupiecka tu nie obowiązuje. Kupujący przeważnie spotyka się z ignorancją i lekceważeniem. Z doświadczenia 2 na 10 sprzedawców szanuje reguły handlu i obsługi klienta. Niestety ale winę za to ponosi samo Allegro narzucając zbójeckie zasady na sprzedających. Allegro ewidentne nastawione jest na zysk w najgorszym azjatyckim stylu."
1,Sprzedaż na Allegro Lokalnie bez żadnych  kosztów !!!!! Kolejna ściema Allegro !!!! Po zakończonej sprzedaży naliczają koszt obsługi transakcji w kwocie prawie 10 procent wartości transzakcji!!! Mało tego.  Koszt obsługi jest bezzwrotny!!! Więc nie ma żadnych zwrotów prowizji.Co sie stało z tym portalem?
1,"Jedno wielkie oszustwo , właściciele portalu ciągną kasę bez miary i żadnej kontroli, kompletny brak kontaktu , niczego nie da się załatwić ani wyjaśnić , a na maile odpisują jakieś absurdalne brednie. Skandal totalne bezprawie."
1,Allegro to porażka dla przedsiębiorców sprzedających
2,"Allegro jest jak aborcja - wzbudza skrajne emocje.Do rzeczy. Opinia jako kupującego i kiedyś sprzedającego. Sprzedającym byłem ok 10 lat temu i wtedy Allegro miało mniej opcji, ale przy wsparciu aplikacji zewnętrznych jakoś dało się z tym współpracować. Prowizje były rozsądne, bo na poziomie 3-4%, o ile dobrze pamiętam, a dziś jak chciałem wystawić jakieś zbyteczne rzeczy to byłem zaskoczony, że jest już na poziomie często wyższym niż 10%. Spory skok.Dlatego, nie sprzedaję obecnie na allegro, ale też dobrej alternatywy nie ma dla okazyjnych sprzedawców. OLX jest tak zasypany wyłudaczami, że chyba mało kto tak na poważnie szuka i kupuje tam. Z tego co widzę lepsze rezultaty przynosi odziwo Facebook i tematyczne/lokalne grupy, ale też nie bez wad.Prowizja dla Allegro od wysyłki jest dla mnie mało racjonalnym posunięciem. Może Poczta Polska lub GLS powinni tą prowizję płacić? Przecież to ich zarobek.Jako kupujący oceniam lepiej, ale też nie jest różowo. Nie wiem jakie plany ma zespół produktowy, ale jakoś widzę kulające wdrożenia. Nr kodu kreskowego jest podawany przez sprzedawców, ale czemu nie ma grupowania sprzedawców na danym SKU jak na Amazon? Dlaczego nie ma grupowania produktu i zasypywanie mnie rezultatami na kilku stronach tego samego produktu od tego samego sprzedającego, który postanowił ich powystawiać w setkach? Dlaczego nie ma 'czarnej listy' sprzedających (muszę się posiłkować pluginami)? Ochrona kupujących jest niedopracowana, bo jak kupujący zostanie oszukany na np 50zł, to musi przedstawić protokół z policji. Taka kwota nie jest warta jego jak i Policji czasu. Czemu nie przyjąć wartości niskiej szkodliwości czynu i poniżej zastosować uproszczoną procedurę, a powyżej taką jak jest?Z drugiej strony, trzeba przyznać, że wprowadzenie SMART dla kupujących jest sporym plusem. Jednak na świecie nic nie ma za darmo. Nie wiem do końca kto (Allegro czy sprzedający) pokrywa koszty wysyłki SMART, ale albo to się odbija wysokimi prowizjami (jeżeli Allegro) albo wyższymi cenami (jeżeli sprzedawca). Ogólnie (bywają porażki transakcyjne), jestem w miarę zadowolony z Allegro jako kupujący, ale to wszystko dzięki sprzedającym, nie Allegro samym w sobie. To z nimi są transakcje, to z nimi się kontaktuje i to oni dają najczęściej z siebie wiele by przesyłki dotarły szybko i bez uszkodzeń! Na koniec, muszę wspomnieć o recenzji produktów i forum. Recenzje są napradę bardzo użyteczne i jest to najczęściej dobre źródło informacji, z tym że na innych portaach nie Allegro. Zastanawiałem się czasami, czemu recenzje są lakoniczne i bardzo ogólnikowe, poprostu nic nie wnoszące. Szybko przekonałem się dlaczego sam pisząc kilka. Przy rozpisaniu się i opisaniu przedmiotu, wyskakuje błąd o 'recenzji transakcji' a nie produktu. Czytając raz jeszcze moją opinię, nic takiego nie opisałem. Żeby to jeszcze było wskazane jakoś, która część jest rozpoznana jako nieprawidłowy wpis to było by pomocne. Po kilku razach i edycjach się odechciewa pisania. Benefitów z tego też brak. Wiadomo, że boty muszą coś nie coś sprawdzić, ale chyba zbyt mocno jest podkręcona restykcja. Rezultat taki, że mogło by recenzji w ogóle nie być. Można by wziąć przykład z Amazona. Jak recenzja zgłoszona o naruszenie zasad, dopiero wtedy jest przeglądana.Jak już wspomniałem Amazon, to muszę wspomnieć, że byłem mocno zaskoczony kiedy pisałem zapytanie i później dyskujsę na forum Allegro. Słowa 'Amazon' nie można używać - jest ono kasowane z treści podczas wysyłania wypowiedzi!! Normalnie cenzura pełną parą, no chyba że ktoś mi udowodni, że 'Amazon' to obraźliwe czy też rasistowskie słowo. Mnie nic o tym nie wiadomo.Finalne podsumowanie. Allegro było dość interesującą platformą wprowadzającą Polskę w świat e-handlu, ale to czym się stało teraz to nie bardzo. Mam nadzieję, że pojawią się jakieś alternatywy. Z punktu widzenia kupującego, oczekuję Amazon'a bo AliExpress często ma zbyt długi czas oczekiwania. Dla sprzedająch, szkoda że Ebay trochę nie zaskoczył."
1,"Podobnie jak inny użytkownik, wystawiłabym zero gwiazdek, ale takiej możliwości nie ma.Niestety, coraz rzadziej kupuję na Allegro, fake na każdej stronie, ochyda ;( Nie sprzedaję już od dawna,ponieważ musiałam zapłacić prowizję 50 zł od sprzedaży butów snowboardowych na AllegroLokalnie, które sprzedałam na innej platformie, ale serwis to nie obchodzi, że transakcja finalnie nie doszła do skutku.Nie polecam :("
1,Zdecydowanie najgorszy portal dla osob sprzedajacych.Faworyzuje jedynie klientow osztustow i wyludzaczy .Allegro zacheca do prowadzenia nieuzasadnionych dyskusji.Klient nieuczciwy ma zawsze racje.JESLI SPRZEDAJECIE COKOLWIEK I ZASTANAWIACIE SIE NAD OTWARCIEM KONTA JAKO SPRZEDAWCA TO ZDECYDOWANIE ODRADZAM.Alegro robi tez problemy przy zwrocie prowizji jak klient nie odbiera pobrania.prowizje Allegro sa kosmicznie wysokie.Jesli klient kupi od was prezerwatywe i po pol roku rozpocznie dyskusje ze jest zuzyta allegro przyzna takiemu klientowi racje poniewaz allegro z automatu daje gwarancje i rekojmie ze 2 lata kazdy produkt bez wzgledu co to jest-mozna uzywac wiec jesli nie daj boze sprzedajecie cos co jest jednorazowe to bedziecie miec same problemy.UCIEKAJCIE OD TEGO GOWNA Z DALEKA.
